model,iteration,gpu,num_params,batch_size,epochs,learning_rate,training_time,min_train_loss,min_val_loss,max_train_acc,max_val_acc,max_y_pos_prob,min_y_pos_prob,threshold,f1,recall,precision,eer,bonafide_split,spoof_split,training_sample_size,validation_sample_size
FIRST_CNN_STFT_FRAMESIZE_1024,1,NVIDIA GeForce RTX 3050 Laptop GPU,3299534,24,10,0.0001,35589.57574,0.313261777,0.864870667,93.72106481,94.91666667,1,1,1,0.973920479,0.949166667,1,0.5,NA,NA,38400,1200
FIRST_CNN_STFT_FRAMESIZE_1024,2,NVIDIA GeForce RTX 3050 Laptop GPU,3299534,24,15,0.0001,12355.51397,0.313261777,0.875758052,93.72106481,94.91666667,1,1,1,0.973920479,0.949166667,1,0.5,NA,NA,38400,1200
FIRST_CNN_STFT_FRAMESIZE_1024,3,NVIDIA GeForce RTX 3050 Laptop GPU,3299534,24,10,0.0001,10124.70482,0.368903667,0.344808668,86.53356481,91,1,3.47E-26,0.705003619,0.925724638,0.997073171,0.863905325,0.130674755,0.5,0.5,38400,1200
SECOND_CNN_STFT_FRAMESIZE_1024,1,NVIDIA GeForce RTX 3050 Laptop GPU,4931682,24,10,0.0001,20692.70154,0.347994536,0.313934475,92.05862069,92.33333333,1,6.58E-24,0.520104647,0.959825328,0.999090909,0.923529412,0.088655462,0.35,0.65,58000,1200
SECOND_CNN_STFT_FRAMESIZE_1024,2,NVIDIA GeForce RTX 3050 Laptop GPU,4931682,24,15,0.0001,32908.07399,0.317367822,0.31328541,94.3,96.375,1,2.60E-42,0.999952078,0.98112225,0.993234338,0.969302007,0.097650387,0.2,0.8,68000,12000
THIRD_CNN_STFT_FRAMESIZE_1024_2SEC,1,NVIDIA GeForce RTX 3050 Laptop GPU,5138538,48,10,0.0001,29785.4205,0.37423113,0.40798226,91.78461538,95.22777778,1,6.88E-30,0.983869493,0.975109385,0.996210776,0.954883378,0.090226881,0.2,0.8,78000,18000
